location,wind_avg,precip,temp_avg,temp_max,temp_min,time
Hayward,2.24,0,50,57,44,2023-11-05T00:00:00Z
Hayward,3.8,0,51,60,44,2023-11-05T00:01:00Z
Hayward,3.13,0,50,62,41,2023-11-05T00:02:00Z
Hayward,4.47,0,51,59,43,2023-11-05T00:03:00Z
Hayward,3.8,0,48,59,37,2023-11-05T00:04:00Z
Hayward,3.8,0,49,60,38,2023-11-05T00:05:00Z
Hayward,5.14,0,48,58,39,2023-11-05T00:06:00Z
Hayward,5.14,0,51,57,42,2023-11-05T00:07:00Z
Hayward,7.16,0.17,51,56,42,2023-11-05T00:08:00Z
Hayward,4.92,0,47,58,39,2023-11-05T00:09:00Z
Hayward,5.14,0.02,50,58,42,2023-11-05T00:10:00Z
Hayward,5.59,0.01,46,55,37,2023-11-05T00:11:00Z
Hayward,8.05,0.07,49,56,43,2023-11-05T00:12:00Z
Hayward,5.14,0.05,52,55,42,2023-11-05T00:13:00Z
Hayward,4.92,0,45,52,38,2023-11-05T00:14:00Z
Hayward,11.41,0.79,48,52,43,2023-11-05T00:15:00Z
Hayward,4.92,0,45,55,38,2023-11-05T00:16:00Z
Hayward,6.93,0,48,58,43,2023-11-05T00:17:00Z
Hayward,5.82,0,48,54,40,2023-11-05T00:18:00Z
Hayward,3.13,0,49,56,45,2023-11-05T00:19:00Z
Hayward,8.28,0.08,52,59,45,2023-11-05T00:20:00Z
Hayward,4.03,0.01,55,60,51,2023-11-05T00:21:00Z
Hayward,2.68,0,53,59,47,2023-11-05T00:22:00Z
Hayward,2.68,0,53,63,45,2023-11-05T00:23:00Z
Hayward,2.68,0.01,56,64,51,2023-11-05T00:24:00Z
Hayward,6.04,0.18,58,60,47,2023-11-05T00:25:00Z
Hayward,3.8,0,51,59,44,2023-11-05T00:26:00Z
Hayward,4.7,0.01,54,60,47,2023-11-05T00:27:00Z
Hayward,4.25,0,51,60,43,2023-11-05T00:28:00Z
Hayward,3.58,0,53,61,47,2023-11-05T00:29:00Z
Hayward,3.58,0,53,66,47,2023-11-05T00:30:00Z
Hayward,4.03,0,56,65,45,2023-11-05T00:31:00Z
Hayward,11.86,0,54,58,43,2023-11-05T00:32:00Z
Hayward,7.61,0,46,57,35,2023-11-05T00:33:00Z
Hayward,6.71,0,48,57,37,2023-11-05T00:34:00Z
Hayward,4.03,0,46,60,37,2023-11-05T00:35:00Z
Hayward,2.46,0,51,64,41,2023-11-05T00:36:00Z
Hayward,3.8,0,53,66,41,2023-11-05T00:37:00Z
Hayward,4.47,0,52,59,45,2023-11-05T00:38:00Z
Hayward,17,0,53,63,42,2023-11-05T00:39:00Z
Hayward,4.92,0,57,74,43,2023-11-05T00:40:00Z
Hayward,4.47,0,60,72,48,2023-11-05T00:41:00Z
Hayward,4.25,0,55,67,43,2023-11-05T00:42:00Z
Hayward,6.26,0,51,57,44,2023-11-05T00:43:00Z
Hayward,4.92,0,52,58,47,2023-11-05T00:44:00Z
Hayward,4.47,0,52,63,42,2023-11-05T00:45:00Z
Hayward,5.59,0,53,60,46,2023-11-05T00:46:00Z
Hayward,4.47,0,53,70,43,2023-11-05T00:47:00Z
Hayward,3.58,0,55,65,44,2023-11-05T00:48:00Z
Hayward,4.25,0,51,64,41,2023-11-05T00:49:00Z
Hayward,4.92,0,53,65,44,2023-11-05T00:50:00Z
Hayward,4.03,0,58,74,46,2023-11-05T00:51:00Z
Hayward,8.95,0,58,61,50,2023-11-05T00:52:00Z
Hayward,8.5,0,53,59,48,2023-11-05T00:53:00Z
Hayward,4.92,0,53,67,44,2023-11-05T00:54:00Z
Hayward,4.25,0,57,77,43,2023-11-05T00:55:00Z
Hayward,3.8,0,60,74,47,2023-11-05T00:56:00Z
Hayward,4.92,0,60,74,49,2023-11-05T00:57:00Z
Hayward,4.92,0,62,73,51,2023-11-05T00:58:00Z
Hayward,12.3,0,54,58,49,2023-11-05T00:59:00Z
Hayward,8.5,0,51,60,42,2023-11-05T01:00:00Z
Hayward,8.95,0,59,73,47,2023-11-05T01:01:00Z
Hayward,6.26,0,62,76,47,2023-11-05T01:02:00Z
Hayward,5.37,0,60,77,48,2023-11-05T01:03:00Z
Hayward,5.82,0,57,65,48,2023-11-05T01:04:00Z
Hayward,8.28,0,56,61,50,2023-11-05T01:05:00Z
Hayward,6.49,0.23,52,55,49,2023-11-05T01:06:00Z
Hayward,4.92,0,52,60,45,2023-11-05T01:07:00Z
Hayward,5.37,0,55,66,47,2023-11-05T01:08:00Z
Hayward,5.14,0.01,59,70,52,2023-11-05T01:09:00Z
Hayward,6.49,0.01,61,70,52,2023-11-05T01:10:00Z
Hayward,5.37,0,57,70,47,2023-11-05T01:11:00Z
Hayward,9.62,0,56,66,46,2023-11-05T01:12:00Z
Hayward,8.72,0.48,53,54,49,2023-11-05T01:13:00Z
Hayward,9.17,0.44,51,54,46,2023-11-05T01:14:00Z
Hayward,7.16,0.24,47,56,42,2023-11-05T01:15:00Z
Hayward,5.82,0,48,57,40,2023-11-05T01:16:00Z
Hayward,6.49,0,49,55,45,2023-11-05T01:17:00Z
Hayward,5.82,0,52,61,45,2023-11-05T01:18:00Z
Hayward,6.04,0,53,64,43,2023-11-05T01:19:00Z
Hayward,4.47,0.01,53,63,45,2023-11-05T01:20:00Z
Hayward,5.37,0,56,69,48,2023-11-05T01:21:00Z
Hayward,8.05,0,54,55,48,2023-11-05T01:22:00Z
Hayward,7.83,0.07,52,58,48,2023-11-05T01:23:00Z
Hayward,8.5,0.03,51,57,43,2023-11-05T01:24:00Z
Hayward,6.04,0.04,48,58,37,2023-11-05T01:25:00Z
Hayward,8.28,0,50,58,39,2023-11-05T01:26:00Z
Hayward,5.59,0.1,53,59,49,2023-11-05T01:27:00Z
Hayward,7.16,0.03,55,62,51,2023-11-05T01:28:00Z
Hayward,6.93,0,56,63,51,2023-11-05T01:29:00Z
Hayward,7.38,0,56,64,49,2023-11-05T01:30:00Z
Hayward,6.71,0,54,61,47,2023-11-05T01:31:00Z
Hayward,8.5,0,53,65,41,2023-11-05T01:32:00Z
Hayward,8.95,0,53,61,44,2023-11-05T01:33:00Z
Hayward,9.4,0.42,53,60,49,2023-11-05T01:34:00Z
Hayward,6.93,0.41,53,55,46,2023-11-05T01:35:00Z
Hayward,3.58,0.41,48,52,43,2023-11-05T01:36:00Z
Hayward,7.38,0,49,63,39,2023-11-05T01:37:00Z
Hayward,6.26,0,55,62,47,2023-11-05T01:38:00Z
Hayward,6.93,0,57,64,54,2023-11-05T01:39:00Z
Hayward,8.28,0,58,64,53,2023-11-05T01:40:00Z
Hayward,8.5,0,55,60,52,2023-11-05T01:41:00Z
Hayward,7.16,0,56,62,53,2023-11-05T01:42:00Z
Hayward,6.26,0,57,68,51,2023-11-05T01:43:00Z
Hayward,6.26,0,59,77,46,2023-11-05T01:44:00Z
Hayward,7.16,0,62,77,49,2023-11-05T01:45:00Z
Hayward,8.5,0,57,62,54,2023-11-05T01:46:00Z
Hayward,9.17,0,56,62,54,2023-11-05T01:47:00Z
Hayward,8.5,0,58,64,54,2023-11-05T01:48:00Z
Hayward,8.05,0,57,65,52,2023-11-05T01:49:00Z
Hayward,10.29,0,57,63,54,2023-11-05T01:50:00Z
Hayward,9.17,0,56,65,54,2023-11-05T01:51:00Z
Hayward,7.16,0,59,71,51,2023-11-05T01:52:00Z
Hayward,6.71,0,61,70,56,2023-11-05T01:53:00Z
Hayward,4.03,0,63,76,52,2023-11-05T01:54:00Z
Hayward,4.92,0,65,78,54,2023-11-05T01:55:00Z
Hayward,5.82,0,60,67,53,2023-11-05T01:56:00Z
Hayward,6.71,0,60,72,52,2023-11-05T01:57:00Z
Hayward,6.04,0,64,77,56,2023-11-05T01:58:00Z
Hayward,8.05,0,59,65,55,2023-11-05T01:59:00Z
Hayward,7.61,0,59,69,54,2023-11-05T02:00:00Z
Hayward,8.72,0,59,71,50,2023-11-05T02:01:00Z
Hayward,8.5,0,61,70,55,2023-11-05T02:02:00Z
Hayward,8.5,0,60,67,51,2023-11-05T02:03:00Z
Hayward,6.93,0,59,74,48,2023-11-05T02:04:00Z
Hayward,9.17,0,60,70,48,2023-11-05T02:05:00Z
Hayward,6.93,0,62,77,51,2023-11-05T02:06:00Z
Hayward,5.82,0,66,85,52,2023-11-05T02:07:00Z
Hayward,6.04,0,68,88,52,2023-11-05T02:08:00Z
Hayward,9.17,0,60,69,51,2023-11-05T02:09:00Z
Hayward,8.5,0,60,68,56,2023-11-05T02:10:00Z
Hayward,9.17,0,61,77,52,2023-11-05T02:11:00Z
Hayward,9.62,0.07,61,67,56,2023-11-05T02:12:00Z
Hayward,7.61,0,60,68,51,2023-11-05T02:13:00Z
Hayward,6.93,0.04,62,69,57,2023-11-05T02:14:00Z
Hayward,9.62,0.02,62,69,56,2023-11-05T02:15:00Z
Hayward,8.5,0,62,73,55,2023-11-05T02:16:00Z
Hayward,11.18,0.26,67,78,58,2023-11-05T02:17:00Z
Hayward,10.51,0.22,62,67,57,2023-11-05T02:18:00Z
Hayward,10.96,0.08,60,67,55,2023-11-05T02:19:00Z
Hayward,8.95,0,60,69,56,2023-11-05T02:20:00Z
Hayward,8.05,0,62,75,55,2023-11-05T02:21:00Z
Hayward,9.4,0,60,69,54,2023-11-05T02:22:00Z
